Date,Petrol
09-Jul-17,63.65
10-Jul-17,63.83
11-Jul-17,63.93
12-Jul-17,63.93
13-Jul-17,63.91
14-Jul-17,63.89
15-Jul-17,64.03
16-Jul-17,64.11
17-Jul-17,64.15
18-Jul-17,64.21
19-Jul-17,64.21
20-Jul-17,64.25
21-Jul-17,64.28
22-Jul-17,64.3
23-Jul-17,64.4
24-Jul-17,64.53
25-Jul-17,64.57
26-Jul-17,64.57
27-Jul-17,64.59
28-Jul-17,64.69
29-Jul-17,64.87
30-Jul-17,65
31-Jul-17,65.26
01-Aug-17,65.4
02-Aug-17,65.47
03-Aug-17,65.69
04-Aug-17,66
05-Aug-17,66.28
06-Aug-17,66.51
07-Aug-17,66.66
08-Aug-17,66.75
09-Aug-17,66.81
10-Aug-17,66.96
11-Aug-17,67.27
12-Aug-17,67.5
13-Aug-17,67.76
14-Aug-17,67.95
15-Aug-17,68.08
16-Aug-17,68.14
17-Aug-17,68.24
18-Aug-17,68.29
19-Aug-17,68.37
20-Aug-17,68.38
21-Aug-17,68.54
22-Aug-17,68.67
23-Aug-17,68.73
24-Aug-17,68.88
25-Aug-17,69.01
26-Aug-17,69.02
27-Aug-17,69.06
28-Aug-17,69.09
29-Aug-17,69.12
30-Aug-17,69.12
31-Aug-17,69.15
01-Sep-17,69.26
02-Sep-17,69.43
03-Sep-17,69.55
04-Sep-17,69.66
05-Sep-17,69.71
06-Sep-17,69.71
07-Sep-17,69.8
08-Sep-17,69.89
09-Sep-17,70.03
10-Sep-17,70.17
11-Sep-17,70.3
12-Sep-17,70.38
13-Sep-17,70.38
14-Sep-17,70.39
15-Sep-17,70.43
16-Sep-17,70.48
17-Sep-17,70.51
18-Sep-17,70.51
19-Sep-17,70.52
20-Sep-17,70.52
21-Sep-17,70.52
22-Sep-17,70.47
23-Sep-17,70.42
24-Sep-17,70.39
25-Sep-17,70.41
26-Sep-17,70.41
27-Sep-17,70.41
28-Sep-17,70.46
29-Sep-17,70.56
30-Sep-17,70.66
01-Oct-17,70.76
02-Oct-17,70.83
03-Oct-17,70.88
04-Oct-17,68.38
05-Oct-17,68.38
06-Oct-17,68.36
07-Oct-17,68.35
08-Oct-17,68.39
09-Oct-17,68.45
10-Oct-17,68.45
11-Oct-17,68.48
13-Oct-17,68.43
13-Oct-17,68.45
14-Oct-17,68.38
15-Oct-17,68.33
16-Oct-17,68.29
17-Oct-17,68.26
18-Oct-17,68.26
19-Oct-17,68.33
20-Oct-17,68.4
21-Oct-17,68.44
22-Oct-17,68.58
23-Oct-17,68.6
24-Oct-17,68.6
25-Oct-17,68.62
26-Oct-17,68.65
27-Oct-17,68.72
28-Oct-17,68.84
29-Oct-17,68.92
30-Oct-17,69.07
31-Oct-17,69.13
01-Nov-17,69.14
02-Nov-17,69.25
03-Nov-17,69.34
04-Nov-17,69.47
05-Nov-17,69.55
06-Nov-17,69.69
07-Nov-17,69.8
08-Nov-17,69.8
09-Nov-17,69.85
10-Nov-17,69.85
11-Nov-17,69.81
12-Nov-17,69.78
13-Nov-17,69.78
14-Nov-17,69.73
15-Nov-17,69.68
16-Nov-17,69.65
17-Nov-17,69.61
18-Nov-17,69.57
19-Nov-17,69.54
20-Nov-17,69.51
21-Nov-17,69.53
22-Nov-17,69.48
23-Nov-17,69.43
24-Nov-17,69.41
25-Nov-17,69.36
26-Nov-17,69.32
27-Nov-17,69.28
28-Nov-17,69.26
29-Nov-17,69.26
30-Nov-17,69.24
01-Dec-17,69.22
02-Dec-17,69.22
03-Dec-17,69.23
04-Dec-17,69.23
05-Dec-17,69.25
06-Dec-17,69.24
07-Dec-17,69.23
08-Dec-17,69.19
09-Dec-17,69.18
10-Dec-17,69.15
11-Dec-17,69.12
12-Dec-17,69.09
13-Dec-17,69.07
14-Dec-17,69.07
15-Dec-17,69.1
16-Dec-17,69.13
17-Dec-17,69.15
18-Dec-17,69.19
19-Dec-17,69.27
20-Dec-17,69.35
21-Dec-17,69.42
22-Dec-17,69.5
23-Dec-17,69.58
24-Dec-17,69.56
25-Dec-17,69.65
26-Dec-17,69.63
27-Dec-17,69.72
28-Dec-17,69.81
29-Dec-17,69.9
30-Dec-17,69.94
31-Dec-17,69.97
01-Jan-18,69.97
02-Jan-18,69.97
03-Jan-18,69.97
04-Jan-18,69.97
05-Jan-18,69.99
06-Jan-18,70.13
07-Jan-18,70.28
08-Jan-18,70.43
09-Jan-18,70.53
10-Jan-18,70.62
11-Jan-18,70.66
12-Jan-18,70.73
13-Jan-18,70.92
14-Jan-18,71.06
15-Jan-18,71.18
16-Jan-18,71.27
17-Jan-18,71.39
18-Jan-18,71.56
19-Jan-18,71.7
20-Jan-18,71.89
21-Jan-18,72.08
22-Jan-18,72.23
23-Jan-18,72.38
24-Jan-18,72.43
25-Jan-18,72.49
26-Jan-18,72.63
27-Jan-18,72.72
28-Jan-18,72.77
29-Jan-18,72.84
30-Jan-18,72.92
31-Jan-18,72.92
01-Feb-18,73.05
02-Feb-18,73.1
03-Feb-18,73.09
04-Feb-18,73.16
05-Feb-18,73.31
06-Feb-18,73.38
07-Feb-18,73.38
08-Feb-18,73.37
09-Feb-18,73.35
10-Feb-18,73.33
11-Feb-18,73.22
12-Feb-18,73.01
13-Feb-18,72.94
14-Feb-18,72.94
15-Feb-18,72.79
16-Feb-18,72.52
17-Feb-18,72.23
18-Feb-18,72.07
19-Feb-18,71.92
20-Feb-18,71.73
21-Feb-18,71.72
22-Feb-18,71.7
23-Feb-18,71.61
24-Feb-18,71.52
25-Feb-18,71.5
26-Feb-18,71.53
27-Feb-18,71.51
28-Feb-18,71.51
01-Mar-18,71.57
02-Mar-18,71.75
03-Mar-18,72
04-Mar-18,72.26
05-Mar-18,72.32
06-Mar-18,72.39
07-Mar-18,72.39
08-Mar-18,72.39
09-Mar-18,72.43
10-Mar-18,72.46
11-Mar-18,72.48
12-Mar-18,72.45
13-Mar-18,72.47
14-Mar-18,72.47
15-Mar-18,72.45
16-Mar-18,72.37
17-Mar-18,72.27
18-Mar-18,72.2
19-Mar-18,72.19
20-Mar-18,72.2
21-Mar-18,72.2
22-Mar-18,72.26
23-Mar-18,72.3
24-Mar-18,72.38
25-Mar-18,72.55
26-Mar-18,72.79
27-Mar-18,72.9
28-Mar-18,72.9
29-Mar-18,73.08
30-Mar-18,73.31
31-Mar-18,73.55
01-Apr-18,73.73
02-Apr-18,73.83
03-Apr-18,73.95
04-Apr-18,73.95
05-Apr-18,73.98
06-Apr-18,73.98
07-Apr-18,74
08-Apr-18,74.03
09-Apr-18,73.99
10-Apr-18,73.98
11-Apr-18,73.98
12-Apr-18,73.94
13-Apr-18,73.91
14-Apr-18,73.93
15-Apr-18,73.98
16-Apr-18,74.02
17-Apr-18,74.02
18-Apr-18,74.02
19-Apr-18,74.07
01-Jan-19,71.22
01-Feb-19,73.64
01-Mar-19,74.57
01-Apr-19,75.62
01-May-19,75.9
01-Jun-19,74.39
01-Jul-19,73.15
01-Aug-19,75.6
01-Sep-19,74.57
01-Oct-19,77.5
01-Nov-19,75.69
01-Dec-19,77.91
01-Jan-20,78.12
01-Feb-20,76.03
01-Mar-20,74.28
01-Apr-20,72.28
01-May-20,72.28
01-Jun-20,75.54
01-Jul-20,83.63
01-Aug-20,83.63
01-Sep-20,85.04
01-Oct-20,84.14
01-Nov-20,84.14
01-Dec-20,85.31
01-Jan-21,86.51
01-Feb-21,88.82
01-Mar-21,93.11
01-Apr-21,92.58
01-May-21,92.43
01-Jun-21,95.99
01-Jul-21,99.8
01-Aug-21,102.49
01-Sep-21,99.08
01-Oct-21,99.58
01-Nov-21,106.35
01-Dec-21,101.4
01-Jan-22,101.4
01-Feb-22,101.4
01-Mar-22,101.4
